                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7111,                 7.0072,                 4.4359,                      0,                      0,                      0,                      0,                 5.7193,                 7.1237,                 4.1591,                0.00012,                0.00012,                0.00012
                      2,                 4.9822,                 7.2062,                 4.0516,                      0,                      0,                      0,                      0,                   5.72,                 7.1271,                 4.1603,             0.00025743,             0.00025743,             0.00025743
                      3,                 4.7312,                 6.1756,                 4.1906,                      0,                      0,                      0,                      0,                 5.7213,                  7.106,                 4.1642,             0.00039208,             0.00039208,             0.00039208
                      4,                 4.4333,                 6.3362,                 3.8917,                      0,                      0,                      0,                      0,                  5.724,                 7.0661,                 4.1716,             0.00052396,             0.00052396,             0.00052396
                      5,                 4.0279,                 4.9108,                 3.7973,                      0,                      0,                      0,                      0,                 5.7309,                  6.986,                 4.1906,             0.00065307,             0.00065307,             0.00065307
                      6,                 3.6702,                 4.4673,                 3.6034,                      0,                      0,                      0,                      0,                 5.7427,                 6.8257,                 4.2178,             0.00077941,             0.00077941,             0.00077941
                      7,                 3.1617,                 4.0724,                 3.3788,                      0,                      0,                      0,                      0,                 5.7802,                 6.3431,                 4.2876,             0.00090298,             0.00090298,             0.00090298
                      8,                 3.1228,                 3.5576,                 3.1651,                      0,                      0,                      0,                      0,                 5.7973,                 6.0908,                 4.3141,              0.0010238,              0.0010238,              0.0010238
                      9,                 3.0562,                 3.1343,                 2.9327,                      0,                      0,                      0,                      0,                 5.8152,                 5.9857,                 4.3417,              0.0011418,              0.0011418,              0.0011418
                     10,                 2.8784,                 2.7593,                 2.7488,                      0,                      0,                      0,                      0,                 5.7902,                 5.7663,                 4.3192,               0.001257,               0.001257,               0.001257
                     11,                 2.5471,                 2.8686,                 2.6642,                      0,                      0,                      0,                      0,                 5.8517,                 5.9245,                  4.443,              0.0013695,              0.0013695,              0.0013695
                     12,                 2.5293,                 2.6787,                 2.6562,                      0,                      0,                      0,                      0,                 5.8654,                 6.1042,                 4.5061,              0.0014792,              0.0014792,              0.0014792
                     13,                 2.4905,                 2.3191,                 2.4731,                      0,                      0,                      0,                      0,                 5.8583,                 6.1144,                 4.5073,              0.0015862,              0.0015862,              0.0015862
                     14,                 2.4877,                 2.3229,                 2.4478,                      0,                      0,                      0,                      0,                 5.7791,                 5.8829,                 4.3394,              0.0016903,              0.0016903,              0.0016903
                     15,                  2.145,                 2.3775,                 2.2782,                      0,                      0,                      0,                      0,                 5.4088,                 5.6537,                 4.0275,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.1719,                 2.1642,                 2.2853,                0.32767,                0.09091,                 0.0322,                0.01659,                 4.2624,                 4.6766,                  3.434,               0.001703,               0.001703,               0.001703
                     17,                 2.1862,                 2.1143,                 2.1896,                0.40731,                0.09091,                0.04833,                0.02588,                 3.8132,                 4.1997,                 3.2765,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.1035,                 1.8848,                 2.1599,                0.33565,                0.27273,                0.32995,                0.12326,                 2.6739,                 3.1163,                 2.6003,              0.0016634,              0.0016634,              0.0016634
                     19,                  2.159,                 1.9859,                 2.2233,                0.86211,                0.45455,                0.62593,                0.19203,                 2.6585,                 2.3617,                 2.6619,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.0001,                 1.8477,                 2.2203,                0.63289,                0.63636,                0.73676,                0.34431,                 2.2876,                 2.1087,                  2.405,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.6969,                 1.8126,                 2.0069,                0.92365,                0.54545,                0.75879,                0.33057,                 2.3945,                 2.4453,                 2.3932,               0.001604,               0.001604,               0.001604
                     22,                  1.703,                 1.6647,                 1.9821,                      1,                0.70337,                0.80743,                0.37872,                 2.2528,                 2.2115,                 2.3424,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.8797,                 1.6794,                 2.0184,                0.95162,                0.72727,                0.80938,                 0.3815,                 2.2854,                 2.0923,                 2.3325,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.9157,                 1.6657,                 2.1058,                0.82479,                0.72727,                  0.775,                0.41808,                 1.9786,                  1.866,                 2.2081,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.6022,                   1.41,                 1.8892,                0.72004,                0.72727,                  0.761,                0.36122,                 2.2402,                 2.5522,                 2.3745,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.5765,                 1.4372,                 1.9217,                0.96024,                0.72727,                0.80681,                0.37329,                 2.2788,                 1.9816,                 2.3243,               0.001505,               0.001505,               0.001505
                     27,                 1.5497,                 1.3965,                 1.8101,                      1,                0.79915,                0.84999,                0.39676,                  1.996,                 1.9018,                 2.2001,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.7794,                 1.7447,                 1.9622,                 0.9918,                0.81818,                 0.8903,                0.41034,                 2.0942,                 1.5667,                 2.2688,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.4694,                 1.3201,                 1.8803,                      1,                 0.8987,                0.90635,                0.42074,                 1.9293,                 1.5585,                 2.2904,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.4234,                 1.2092,                  1.781,                0.87412,                0.63187,                0.75441,                0.32895,                 2.0553,                 2.1493,                 2.1733,              0.0014258,              0.0014258,              0.0014258
